ID,Название,Описание,Ссылка
47,Киевский вокзал,Экскурсия с подъемом на часовую башню,https://engineer-history.ru/tour/kievskii-vokzal
51,Как устроен «каменный цветок»,Экскурсия в Храм Василия Блаженного,https://engineer-history.ru/tour/hram-vasiliya-blazhennogo
56,Красный Октябрь: в гости к Гейсу,Экскурсия по бывшей кондитерской фабрике с посещением конторы ее директора,https://engineer-history.ru/tour/krasnii-oktyabr
57,От авангарда к сталинскому ар-деко,Экскурсия в библиотеку имени Ленина,https://engineer-history.ru/tour/biblioteka-imeni-lenina
61,Куплю палаты с видом на Кремль,Экскурсия по средневековой Москве,https://engineer-history.ru/tour/kuplu-palati-s-vidom-na-kreml
63,Гиперболоид инженера Шухова,Экскурсия по Шаболовке,https://engineer-history.ru/tour/giperboloid-inzhenera-shukhova
64,Модерн Федора Шехтеля,Пешеходная экскурсия с посещением особняка Рябушинского,https://engineer-history.ru/tour/modern-na-patriarshih-s-domo-ryabushinskogo
78,Палаццо в центре Москвы,Экскурсия в особняк Тарасова на Спиридоновке,https://engineer-history.ru/tour/palazzo-v-centre
81,Взятие Китай-города,Экскурсия по средневековой Москве,https://engineer-history.ru/tour/vzyatie-kitai-goroda
88,"Осторожно, модерн!",Автобусная экскурсия про московский модерн,https://engineer-history.ru/tour/ostorzhno-modern
115,Архитектура для жизни,Экскурсия про модерн на Пречистенке,https://engineer-history.ru/tour/modern-na-prechistenke
121,Что вы творите на Остоженке?,Экскурсия по «Золотой миле»,https://engineer-history.ru/tour/ostozhenka
124,Детский мастер-класс,Cтроим Шуховскую башню (7-10 лет),https://engineer-history.ru/tour/stroim-bashnu
130,Строим мост да Винчи,Мастер-класс для детей 7–11 лет,https://engineer-history.ru/tour/stroim-kak-leonardo-da-vinci
131,Построй свой Кремль,Экскурсия об инженерных секретах средневековой крепости и настольная игра для детей (7-10 лет),https://engineer-history.ru/tour/master-klass-postroy-kreml
133,Дом — энциклопедия стилей. Экскурсия в особняк Стахеева на Басманной,,https://engineer-history.ru/tour/osobnyak-stakheeva
174,Дом переехал. Пешеходная экскурсия про передвижку домов,,https://engineer-history.ru/tour/dom-pereehalalpeshka
267,Архитектура московского метро. Экскурсия по станциям 1930-50-х,,https://engineer-history.ru/tour/architektura-metro
322,Дворец пионеров на Воробьевых горах. Экскурсия в «первую ласточку» советского модернизма,,https://engineer-history.ru/tour/epoha-modernizma-vo-dvorce-pionerov
398,Авангард в Дангауэровке. Экскурсия по району Дангауэровка,,https://engineer-history.ru/tour/dangauerovka
